name	period	bikes	cluster1	cluster2	num1	trip1	num2	trip2
"Allen St & Stanton St"	afternoon	64.97	4	2	118	173.67	193	140.11
"Allen St & Stanton St"	evening	64.84	4	2	118	173.67	193	140.11
"Allen St & Stanton St"	night	10.48	4	2	118	173.67	193	140.11
"Myrtle Ave & Lewis Ave"	morning	15.68	0	0	430	29.5	492	38.64
"Myrtle Ave & Lewis Ave"	afternoon	16.32	0	0	430	29.5	492	38.64
"Myrtle Ave & Lewis Ave"	evening	14.48	0	0	430	29.5	492	38.64
"Myrtle Ave & Lewis Ave"	night	4.1	0	0	430	29.5	492	38.64
"12 Ave & W 40 St"	morning	128.32	2	1	33	292.03	51	267.31
"12 Ave & W 40 St"	afternoon	108.77	2	1	33	292.03	51	267.31
"12 Ave & W 40 St"	evening	53.03	2	1	33	292.03	51	267.31
"12 Ave & W 40 St"	night	1.58	2	1	33	292.03	51	267.31
"Maiden Ln & Pearl St"	morning	21.16	1	0	184	94.58	492	38.64
"Maiden Ln & Pearl St"	afternoon	31.06	1	0	184	94.58	492	38.64
"Maiden Ln & Pearl St"	evening	25.23	1	0	184	94.58	492	38.64
"Maiden Ln & Pearl St"	night	1.35	1	0	184	94.58	492	38.64
"E 51 St & Lexington Ave"	morning	18.97	1	0	184	94.58	492	38.64
"E 51 St & Lexington Ave"	afternoon	53.81	1	0	184	94.58	492	38.64
"E 51 St & Lexington Ave"	evening	12.81	1	0	184	94.58	492	38.64
"E 51 St & Lexington Ave"	night	0.77	1	0	184	94.58	492	38.64
"2 Ave & E 96 St"	morning	34.03	1	0	184	94.58	492	38.64
